opcode,mnem,op_enc,ops,prefs,feature_flag,exceptions
01 /r,ADD,MR,r/m32:merw; r32:mer; OF:w; SF:w; ZF:w; AF:w; CF:w; PF:w,lock:optional/1; rex_w:optional/0; pref67:operand/1,,SSX; GPX; PF; AC
01 /r,ADD,MR,r/m64:merw; r64:mer; OF:w; SF:w; ZF:w; AF:w; CF:w; PF:w,lock:optional/1; rex_w:required/1; pref67:operand/1,,SSX; GPX; PF; AC
02 /r,ADD,RM,r8:merw; r/m8:mer; OF:w; SF:w; ZF:w; AF:w; CF:w; PF:w,rex_w:operand/any; pref67:operand/1,,SSX; GPX; PF; AC
03 /r,ADD,RM,r16:merw; r/m16:mer; OF:w; SF:w; ZF:w; AF:w; CF:w; PF:w,pref66:required/1; pref67:operand/1,,SSX; GPX; PF; AC
03 /r,ADD,RM,r32:merw; r/m32:mer; OF:w; SF:w; ZF:w; AF:w; CF:w; PF:w,rex_w:optional/0; pref67:operand/1,,SSX; GPX; PF; AC
03 /r,ADD,RM,r64:merw; r/m64:mer; OF:w; SF:w; ZF:w; AF:w; CF:w; PF:w,rex_w:required/1; pref67:operand/1,,SSX; GPX; PF; AC
66 0F 58 /r,ADDPD,RM,xmm1:merw; xmm2/m128:mer; PE:w; UE:w; OE:w; DE:w; IE:w,pref67:operand/1,SSE2,UD; GPS; AC; PFS; XFSS
VEX.NDS.128.66.0F.WIG 58 /r,VADDPD,RVM,xmm1:mew; xmm2:mer; xmm3/m128:mer; PE:w; UE:w; OE:w; DE:w; IE:w,pref67:operand/1,AVX,UD; GPS; AC; PFS; XFSS
VEX.NDS.256.66.0F.WIG 58 /r,VADDPD,RVM,ymm1:mew; ymm2:mer; ymm3/m256:mer; PE:w; UE:w; OE:w; DE:w; IE:w,pref67:operand/1,AVX,UD; GPS; AC; PFS; XFSS
0F 58 /r,ADDPS,RM,xmm1:merw; xmm2/m128:mer; PE:w; UE:w; OE:w; DE:w; IE:w,pref67:operand/1,SSE,UD; GPS; AC; PFS; XFSS
VEX.NDS.128.0F.WIG 58 /r,VADDPS,RVM,xmm1:mew; xmm2:mer; xmm3/m128:mer; PE:w; UE:w; OE:w; DE:w; IE:w,pref67:operand/1,AVX,UD; GPS; AC; PFS; XFSS
VEX.NDS.256.0F.WIG 58 /r,VADDPS,RVM,ymm1:mew; ymm2:mer; ymm3/m256:mer; PE:w; UE:w; OE:w; DE:w; IE:w,pref67:operand/1,AVX,UD; GPS; AC; PFS; XFSS
F2 0F 58 /r,ADDSD,RM,xmm1:merw; xmm2/m64:mer; PE:w; UE:w; OE:w; DE:w; IE:w,pref67:operand/1,SSE2,UD; GP; ACS; XFS
VEX.NDS.LIG.F2.0F.WIG 58 /r,VADDSD,RVM,xmm1:mew; xmm2:mer; xmm3/m64:mer; PE:w; UE:w; OE:w; DE:w; IE:w,pref67:operand/1,AVX,UD; GP; ACS; XFS
F3 0F 58 /r,ADDSS,RM,xmm1:merw; xmm2/m32:mer; PE:w; UE:w; OE:w; DE:w; IE:w,pref67:operand/1,SSE,UD; GP; ACS; XFS
VEX.NDS.LIG.F3.0F.WIG 58 /r,VADDSS,RVM,xmm1:mew; xmm2:mer; xmm3/m32:mer; PE:w; UE:w; OE:w; DE:w; IE:w,pref67:operand/1,AVX,UD; GP; ACS; XFS
66 0F D0 /r,ADDSUBPD,RM,xmm1:merw; xmm2/m128:mer; PE:w; UE:w; OE:w; DE:w; IE:w,pref67:operand/1,SSE3,UD; GPS; AC; PFS; XFSS
VEX.NDS.128.66.0F.WIG D0 /r,VADDSUBPD,RVM,xmm1:mew; xmm2:mer; xmm3/m128:mer; PE:w; UE:w; OE:w; DE:w; IE:w,pref67:operand/1,AVX,UD; GPS; AC; PFS; XFSS
VEX.NDS.256.66.0F.WIG D0 /r,VADDSUBPD,RVM,ymm1:mew; ymm2:mer; ymm3/m256:mer; PE:w; UE:w; OE:w; DE:w; IE:w,pref67:operand/1,AVX,UD; GPS; AC; PFS; XFSS
F2 0F D0 /r,ADDSUBPS,RM,xmm1:merw; xmm2/m128:mer; PE:w; UE:w; OE:w; DE:w; IE:w,pref67:operand/1,SSE3,UD; GPS; AC; PFS; XFSS
VEX.NDS.128.F2.0F.WIG D0 /r,VADDSUBPS,RVM,xmm1:mew; xmm2:mer; xmm3/m128:mer; PE:w; UE:w; OE:w; DE:w; IE:w,pref67:operand/1,AVX,UD; GPS; AC; PFS; XFSS
VEX.NDS.256.F2.0F.WIG D0 /r,VADDSUBPS,RVM,ymm1:mew; ymm2:mer; ymm3/m256:mer; PE:w; UE:w; OE:w; DE:w; IE:w,pref67:operand/1,AVX,UD; GPS; AC; PFS; XFSS
F3 0F 38 F6 /r,ADOX,RM,r32:merw; r/m32:mer; OF:rw,pref67:operand/1,ADX,
F3 0F 38 F6 /r,ADOX,RM,r64:merw; r/m64:mer; OF:rw,rex_w:required/1; pref67:operand/1,ADX,
66 0F 38 DE /r,AESDEC,RM,xmm1:merw; xmm2/m128:mer,pref67:operand/1,AES,UD; GPS; AC; PFS
VEX.NDS.128.66.0F38.WIG DE /r,VAESDEC,RVM,xmm1:mew; xmm2:mer; xmm3/m128:mer,pref67:operand/1,AES+AVX,UD; GPS; AC; PFS
66 0F 38 DF /r,AESDECLAST,RM,xmm1:merw; xmm2/m128:mer,pref67:operand/1,AES,UD; GPS; AC; PFS
VEX.NDS.128.66.0F38.WIG DF /r,VAESDECLAST,RVM,xmm1:mew; xmm2:mer; xmm3/m128:mer,pref67:operand/1,AES+AVX,UD; GPS; AC; PFS
66 0F 38 DC /r,AESENC,RM,xmm1:merw; xmm2/m128:mer,pref67:operand/1,AES,UD; GPS; AC; PFS
VEX.NDS.128.66.0F38.WIG DC /r,VAESENC,RVM,xmm1:mew; xmm2:mer; xmm3/m128:mer,pref67:operand/1,AES+AVX,UD; GPS; AC; PFS
66 0F 38 DD /r,AESENCLAST,RM,xmm1:merw; xmm2/m128:mer,pref67:operand/1,AES,UD; GPS; AC; PFS
VEX.NDS.128.66.0F38.WIG DD /r,VAESENCLAST,RVM,xmm1:mew; xmm2:mer; xmm3/m128:mer,pref67:operand/1,AES+AVX,UD; GPS; AC; PFS
66 0F 38 DB /r,AESIMC,RM,xmm1:mew; xmm2/m128:mer,pref67:operand/1,AES,UD; GPS; AC; PFS
VEX.128.66.0F38.WIG DB /r,VAESIMC,RM,xmm1:mew; xmm2/m128:mer,pref67:operand/1,AES+AVX,UD; GPS; AC; PFS
66 0F 3A DF /r ib,AESKEYGENASSIST,RMI,xmm1:mew; xmm2/m128:mer; imm8:mer,pref67:operand/1,AES,UD; GPS; AC; PFS
VEX.128.66.0F3A.WIG DF /r ib,VAESKEYGENASSIST,RMI,xmm1:mew; xmm2/m128:mer; imm8:mer,pref67:operand/1,AES+AVX,UD; GPS; AC; PFS
24 ib,AND,I,AL:mrw; imm8:mer; OF:w; CF:w; SF:w; ZF:w; PF:w; AF:u,,,SSX; GPX; PF; AC
25 iw,AND,I,AX:mrw; imm16:mer; OF:w; CF:w; SF:w; ZF:w; PF:w; AF:u,pref66:required/1,,SSX; GPX; PF; AC
25 id,AND,I,EAX:mrw; imm32:mer; OF:w; CF:w; SF:w; ZF:w; PF:w; AF:u,rex_w:optional/0,,SSX; GPX; PF; AC
25 id,AND,I,RAX:mrw; imm32:mer; OF:w; CF:w; SF:w; ZF:w; PF:w; AF:u,rex_w:required/1,,SSX; GPX; PF; AC
80 /4 ib,AND,MI,r/m8:merw; imm8:mer; OF:w; CF:w; SF:w; ZF:w; PF:w; AF:u,lock:optional/1; rex_w:operand/any; pref67:operand/1,,SSX; GPX; PF; AC
81 /4 iw,AND,MI,r/m16:merw; imm16:mer; OF:w; CF:w; SF:w; ZF:w; PF:w; AF:u,lock:optional/1; pref66:required/1; pref67:operand/1,,SSX; GPX; PF; AC
81 /4 id,AND,MI,r/m32:merw; imm32:mer; OF:w; CF:w; SF:w; ZF:w; PF:w; AF:u,lock:optional/1; rex_w:optional/0; pref67:operand/1,,SSX; GPX; PF; AC
81 /4 id,AND,MI,r/m64:merw; imm32:mer; OF:w; CF:w; SF:w; ZF:w; PF:w; AF:u,lock:optional/1; rex_w:required/1; pref67:operand/1,,SSX; GPX; PF; AC
83 /4 ib,AND,MI,r/m16:merw; imm8:mer; OF:w; CF:w; SF:w; ZF:w; PF:w; AF:u,lock:optional/1; pref66:required/1; pref67:operand/1,,SSX; GPX; PF; AC
83 /4 ib,AND,MI,r/m32:merw; imm8:mer; OF:w; CF:w; SF:w; ZF:w; PF:w; AF:u,lock:optional/1; rex_w:optional/0; pref67:operand/1,,SSX; GPX; PF; AC
83 /4 ib,AND,MI,r/m64:merw; imm8:mer; OF:w; CF:w; SF:w; ZF:w; PF:w; AF:u,lock:optional/1; rex_w:required/1; pref67:operand/1,,SSX; GPX; PF; AC
20 /r,AND,MR,r/m8:merw; r8:mer; OF:w; CF:w; SF:w; ZF:w; PF:w; AF:u,lock:optional/1; rex_w:operand/any; pref67:operand/1,,SSX; GPX; PF; AC
21 /r,AND,MR,r/m16:merw; r16:mer; OF:w; CF:w; SF:w; ZF:w; PF:w; AF:u,lock:optional/1; pref66:required/1; pref67:operand/1,,SSX; GPX; PF; AC
21 /r,AND,MR,r/m32:merw; r32:mer; OF:w; CF:w; SF:w; ZF:w; PF:w; AF:u,lock:optional/1; rex_w:optional/0; pref67:operand/1,,SSX; GPX; PF; AC
21 /r,AND,MR,r/m64:merw; r64:mer; OF:w; CF:w; SF:w; ZF:w; PF:w; AF:u,lock:optional/1; rex_w:required/1; pref67:operand/1,,SSX; GPX; PF; AC
22 /r,AND,RM,r8:merw; r/m8:mer; OF:w; CF:w; SF:w; ZF:w; PF:w; AF:u,rex_w:operand/any; pref67:operand/1,,SSX; GPX; PF; AC
23 /r,AND,RM,r16:merw; r/m16:mer; OF:w; CF:w; SF:w; ZF:w; PF:w; AF:u,pref66:required/1; pref67:operand/1,,SSX; GPX; PF; AC
23 /r,AND,RM,r32:merw; r/m32:mer; OF:w; CF:w; SF:w; ZF:w; PF:w; AF:u,rex_w:optional/0; pref67:operand/1,,SSX; GPX; PF; AC
23 /r,AND,RM,r64:merw; r/m64:mer; OF:w; CF:w; SF:w; ZF:w; PF:w; AF:u,rex_w:required/1; pref67:operand/1,,SSX; GPX; PF; AC
VEX.NDS.LZ.0F38.W0 F2 /r,ANDN,RVM,r32a:mew; r32b:mer; r/m32:mer; SF:w; ZF:w; OF:w; CF:w; AF:u; PF:u,pref67:operand/1,BMI1,UDX; SSX; GP; PF; AC
VEX.NDS.LZ.0F38.W1 F2 /r,ANDN,RVM,r64a:mew; r64b:mer; r/m64:mer; SF:w; ZF:w; OF:w; CF:w; AF:u; PF:u,pref67:operand/1,BMI1,UDX; SSX; GP; PF; AC
66 0F 54 /r,ANDPD,RM,xmm1:merw; xmm2/m128:mer,pref67:operand/1,SSE2,UD; GPS; AC; PFS
VEX.NDS.128.66.0F.WIG 54 /r,VANDPD,RVM,xmm1:mew; xmm2:mer; xmm3/m128:mer,pref67:operand/1,AVX,UD; GPS; AC; PFS
VEX.NDS.256.66.0F.WIG 54 /r,VANDPD,RVM,ymm1:mew; ymm2:mer; ymm3/m256:mer,pref67:operand/1,AVX,UD; GPS; AC; PFS
0F 54 /r,ANDPS,RM,xmm1:merw; xmm2/m128:mer,pref67:operand/1,SSE,UD; GPS; AC; PFS
VEX.NDS.128.0F.WIG 54 /r,VANDPS,RVM,xmm1:mew; xmm2:mer; xmm3/m128:mer,pref67:operand/1,AVX,UD; GPS; AC; PFS
VEX.NDS.256.0F.WIG 54 /r,VANDPS,RVM,ymm1:mew; ymm2:mer; ymm3/m256:mer,pref67:operand/1,AVX,UD; GPS; AC; PFS
66 0F 55 /r,ANDNPD,RM,xmm1:merw; xmm2/m128:mer,pref67:operand/1,SSE2,UD; GPS; AC; PFS
VEX.NDS.128.66.0F.WIG 55 /r,VANDNPD,RVM,xmm1:mew; xmm2:mer; xmm3/m128:mer,pref67:operand/1,AVX,UD; GPS; AC; PFS
VEX.NDS.256.66.0F.WIG 55 /r,VANDNPD,RVM,ymm1:mew; ymm2:mer; ymm3/m256:mer,pref67:operand/1,AVX,UD; GPS; AC; PFS
0F 55 /r,ANDNPS,RM,xmm1:merw; xmm2/m128:mer,pref67:operand/1,SSE,UD; GPS; AC; PFS
VEX.NDS.128.0F.WIG 55 /r,VANDNPS,RVM,xmm1:mew; xmm2:mer; xmm3/m128:mer,pref67:operand/1,AVX,UD; GPS; AC; PFS
VEX.NDS.256.0F.WIG 55 /r,VANDNPS,RVM,ymm1:mew; ymm2:mer; ymm3/m256:mer,pref67:operand/1,AVX,UD; GPS; AC; PFS
66 0F 3A 0D /r ib,BLENDPD,RMI,xmm1:merw; xmm2/m128:mer; imm8:mer,pref67:operand/1,SSE4_1,UD; GPS; AC; PFS
VEX.NDS.128.66.0F3A.WIG 0D /r ib,VBLENDPD,RVMI,xmm1:mew; xmm2:mer; xmm3/m128:mer; imm8:mer,pref67:operand/1,AVX,UD; GPS; AC; PFS
VEX.NDS.256.66.0F3A.WIG 0D /r ib,VBLENDPD,RVMI,ymm1:mew; ymm2:mer; ymm3/m256:mer; imm8:mer,pref67:operand/1,AVX,UD; GPS; AC; PFS
VEX.NDS.LZ.0F38.W0 F7 /r,BEXTR,RMV,r32a:mew; r/m32:mer; r32b:mer; ZF:w; AF:u; SF:u; PF:u; OF:w; CF:w,pref67:operand/1,BMI1,UDX; SSX; GP; PF; AC; UDX; SSX; GP; PF; AC
VEX.NDS.LZ.0F38.W1 F7 /r,BEXTR,RMV,r64a:mew; r/m64:mer; r64b:mer; ZF:w; AF:u; SF:u; PF:u; OF:w; CF:w,pref67:operand/1,BMI1,UDX; SSX; GP; PF; AC; UDX; SSX; GP; PF; AC
66 0F 3A 0C /r ib,BLENDPS,RMI,xmm1:merw; xmm2/m128:mer; imm8:mer,pref67:operand/1,SSE4_1,UD; GPS; AC; PFS
VEX.NDS.128.66.0F3A.WIG 0C /r ib,VBLENDPS,RVMI,xmm1:mew; xmm2:mer; xmm3/m128:mer; imm8:mer,pref67:operand/1,AVX,UD; GPS; AC; PFS
VEX.NDS.256.66.0F3A.WIG 0C /r ib,VBLENDPS,RVMI,ymm1:mew; ymm2:mer; ymm3/m256:mer; imm8:mer,pref67:operand/1,AVX,UD; GPS; AC; PFS
66 0F 38 15 /r,BLENDVPD,RM,xmm1:merw; xmm2/m128:mer; XMM0:mr,pref67:operand/1,SSE4_1,UD; GP; AC; PFS
VEX.NDS.128.66.0F3A.W0 4B /r /is4,VBLENDVPD,RVMR,xmm1:mew; xmm2:mer; xmm3/m128:mer; xmm4:mer,pref67:operand/1,AVX,UD; GP; AC; PFS
VEX.NDS.256.66.0F3A.W0 4B /r /is4,VBLENDVPD,RVMR,ymm1:mew; ymm2:mer; ymm3/m256:mer; ymm4:mer,pref67:operand/1,AVX,UD; GP; AC; PFS
66 0F 38 14 /r,BLENDVPS,RM,xmm1:merw; xmm2/m128:mer; XMM0:mr,pref67:operand/1,SSE4_1,UD; GP; AC; PFS
VEX.NDS.128.66.0F3A.W0 4A /r /is4,VBLENDVPS,RVMR,xmm1:mew; xmm2:mer; xmm3/m128:mer; xmm4:mer,pref67:operand/1,AVX,UD; GP; AC; PFS
VEX.NDS.256.66.0F3A.W0 4A /r /is4,VBLENDVPS,RVMR,ymm1:mew; ymm2:mer; ymm3/m256:mer; ymm4:mer,pref67:operand/1,AVX,UD; GP; AC; PFS
VEX.NDD.LZ.0F38.W0 F3 /3,BLSI,VM,r32:mew; r/m32:mer; ZF:w; SF:w; CF:w; OF:w; AF:u; PF:u,pref67:operand/1,BMI1,UDX; SSX; GP; PF; AC
VEX.NDD.LZ.0F38.W1 F3 /3,BLSI,VM,r64:mew; r/m64:mer; ZF:w; SF:w; CF:w; OF:w; AF:u; PF:u,pref67:operand/1,BMI1,UDX; SSX; GP; PF; AC
VEX.NDD.LZ.0F38.W0 F3 /2,BLSMSK,VM,r32:mew; r/m32:mer; SF:w; CF:w; ZF:w; OF:w; AF:u; PF:u,pref67:operand/1,BMI1,UDX; SSX; GP; PF; AC
VEX.NDD.LZ.0F38.W1 F3 /2,BLSMSK,VM,r64:mew; r/m64:mer; SF:w; CF:w; ZF:w; OF:w; AF:u; PF:u,pref67:operand/1,BMI1,UDX; SSX; GP; PF; AC
VEX.NDD.LZ.0F38.W0 F3 /1,BLSR,VM,r32:mew; r/m32:mer; ZF:w; SF:w; CF:w; OF:w; AF:u; PF:u,pref67:operand/1,BMI1,UDX; SSX; GP; PF; AC
VEX.NDD.LZ.0F38.W1 F3 /1,BLSR,VM,r64:mew; r/m64:mer; ZF:w; SF:w; CF:w; OF:w; AF:u; PF:u,pref67:operand/1,BMI1,UDX; SSX; GP; PF; AC
0F BC /r,BSF,RM,r16:mew; r/m16:mer; ZF:w; CF:u; OF:u; SF:u; AF:u; PF:u,pref66:required/1; pref67:operand/1,,SS; GP; PF; AC
0F BC /r,BSF,RM,r32:mew; r/m32:mer; ZF:w; CF:u; OF:u; SF:u; AF:u; PF:u,rex_w:optional/0; pref67:operand/1,,SS; GP; PF; AC
0F BC /r,BSF,RM,r64:mew; r/m64:mer; ZF:w; CF:u; OF:u; SF:u; AF:u; PF:u,rex_w:required/1; pref67:operand/1,,SS; GP; PF; AC
0F BD /r,BSR,RM,r16:mew; r/m16:mer; ZF:w; CF:u; OF:u; SF:u; AF:u; PF:u,pref66:required/1; pref67:operand/1,,SS; GP; PF; AC
0F BD /r,BSR,RM,r32:mew; r/m32:mer; ZF:w; CF:u; OF:u; SF:u; AF:u; PF:u,rex_w:optional/0; pref67:operand/1,,SS; GP; PF; AC
0F BD /r,BSR,RM,r64:mew; r/m64:mer; ZF:w; CF:u; OF:u; SF:u; AF:u; PF:u,rex_w:required/1; pref67:operand/1,,SS; GP; PF; AC
0F C8+rd,BSWAP,O,r32:merw,,,
0F C8+rd,BSWAP,O,r64:merw,rex_w:required/1,,
0F A3 /r,BT,MR,r/m16:mer; r16:mer; CF:w; OF:u; SF:u; AF:u; PF:u; ZF:u,pref66:required/1; pref67:operand/1,,SS; GP; PF; AC
0F A3 /r,BT,MR,r/m32:mer; r32:mer; CF:w; OF:u; SF:u; AF:u; PF:u; ZF:u,rex_w:optional/0; pref67:operand/1,,SS; GP; PF; AC
0F A3 /r,BT,MR,r/m64:mer; r64:mer; CF:w; OF:u; SF:u; AF:u; PF:u; ZF:u,rex_w:required/1; pref67:operand/1,,SS; GP; PF; AC
0F BA /4 ib,BT,MI,r/m16:mer; imm8:mer; CF:w; OF:u; SF:u; AF:u; PF:u; ZF:u,pref66:required/1; pref67:operand/1,,SS; GP; PF; AC
0F BA /4 ib,BT,MI,r/m32:mer; imm8:mer; CF:w; OF:u; SF:u; AF:u; PF:u; ZF:u,rex_w:optional/0; pref67:operand/1,,SS; GP; PF; AC
0F BA /4 ib,BT,MI,r/m64:mer; imm8:mer; CF:w; OF:u; SF:u; AF:u; PF:u; ZF:u,rex_w:required/1; pref67:operand/1,,SS; GP; PF; AC
0F BB /r,BTC,MR,r/m16:merw; r16:mer; CF:w; OF:u; SF:u; AF:u; PF:u; ZF:u,lock:optional/1; pref66:required/1; pref67:operand/1,,SSX; GP; PF; AC
0F BB /r,BTC,MR,r/m32:merw; r32:mer; CF:w; OF:u; SF:u; AF:u; PF:u; ZF:u,lock:optional/1; rex_w:optional/0; pref67:operand/1,,SSX; GP; PF; AC
0F BB /r,BTC,MR,r/m64:merw; r64:mer; CF:w; OF:u; SF:u; AF:u; PF:u; ZF:u,lock:optional/1; rex_w:required/1; pref67:operand/1,,SSX; GP; PF; AC
0F BA /7 ib,BTC,MI,r/m16:merw; imm8:mer; CF:w; OF:u; SF:u; AF:u; PF:u; ZF:u,lock:optional/1; pref66:required/1; pref67:operand/1,,SSX; GP; PF; AC
0F BA /7 ib,BTC,MI,r/m32:merw; imm8:mer; CF:w; OF:u; SF:u; AF:u; PF:u; ZF:u,lock:optional/1; rex_w:optional/0; pref67:operand/1,,SSX; GP; PF; AC
0F BA /7 ib,BTC,MI,r/m64:merw; imm8:mer; CF:w; OF:u; SF:u; AF:u; PF:u; ZF:u,lock:optional/1; rex_w:required/1; pref67:operand/1,,SSX; GP; PF; AC
0F B3 /r,BTR,MR,r/m16:merw; r16:mer; CF:w; OF:u; SF:u; AF:u; PF:u; ZF:u,lock:optional/1; pref66:required/1; pref67:operand/1,,SSX; GP; PF; AC
0F B3 /r,BTR,MR,r/m32:merw; r32:mer; CF:w; OF:u; SF:u; AF:u; PF:u; ZF:u,lock:optional/1; rex_w:optional/0; pref67:operand/1,,SSX; GP; PF; AC
0F B3 /r,BTR,MR,r/m64:merw; r64:mer; CF:w; OF:u; SF:u; AF:u; PF:u; ZF:u,lock:optional/1; rex_w:required/1; pref67:operand/1,,SSX; GP; PF; AC
0F BA /6 ib,BTR,MI,r/m16:merw; imm8:mer; CF:w; OF:u; SF:u; AF:u; PF:u; ZF:u,lock:optional/1; pref66:required/1; pref67:operand/1,,SSX; GP; PF; AC
0F BA /6 ib,BTR,MI,r/m32:merw; imm8:mer; CF:w; OF:u; SF:u; AF:u; PF:u; ZF:u,lock:optional/1; rex_w:optional/0; pref67:operand/1,,SSX; GP; PF; AC
0F BA /6 ib,BTR,MI,r/m64:merw; imm8:mer; CF:w; OF:u; SF:u; AF:u; PF:u; ZF:u,lock:optional/1; rex_w:required/1; pref67:operand/1,,SSX; GP; PF; AC
